item,mean RT,sd for RT,mean rating,sd for rating
physique,2000.8,1453.3,5.4,2.2
picket,1942.2,1285,4.6,2.2
pickle,1005.9,304.5,6.9,0.4
pickup,1340.3,964.4,6,1.6
picnic,1213.9,615.6,6.7,0.7
picture,1218.7,640.3,6.2,1.7
pigeon,1621.7,2163.6,6.4,1.6
pigsty,2162.5,1378.9,3.8,2.5
pilgrim,1110.3,488.6,6.4,1.3
pillage,1824.8,1215.9,3.5,2.2
pillar,1200.1,413.7,6.6,1.5
pillow,1125.6,704.8,6.9,0.6
pilot,1099,639.4,6.4,1.3
pimple,1053,443.6,6.3,1.6
pinto,2316.5,2642.6,3.9,2.3
pious,1662.9,1004.2,2.2,1.9
pirate,1109.6,654,6.9,1.4
pistol,1063.3,494,6.7,1.6
piston,1708.7,853.1,5.3,2.3
pity,2332.9,2519.2,3.7,2.4
pixie,1823.2,3091.8,4.8,2.3
pizza,931.8,394.8,6.9,0.4
pizzazz,2170.5,1373.1,3.2,2.2
placid,2317.7,1844.7,3.1,2.1
plaintiff,1468.6,540,5.2,2.1
planet,1097.9,529.3,6.9,0.4
plankton,1495.7,777,4.7,2.3
plasma,1953,2815.6,5.9,1.7
plastic,1381.3,857.6,6.4,1.1
plateau,1250.1,424.9,5.8,1.7
platform,1266.3,562.9,5.6,2
platoon,1581.8,893.4,5.4,2.2
plaza,1568.2,1809.1,5.6,2
pleasant,3032.8,3573.9,3.7,2.3
pleasure,1953.2,1538.4,4.7,2.4
plenty,1783.7,1098.7,4.2,2.2
pliers,1306.6,420.5,6,1.7
plumber,1153,444.8,6.4,1.3
plunder,2368.9,2150.5,3.4,2.4
plural,1921.2,1579.2,3.9,2.3
pocket,1510.5,1197.1,6,1.6
poem,1511.1,932.3,6.2,1.5
poet,1469,799.6,5.2,2.3
pogo,1891.1,1425.2,5.2,1.9
poignant,2599.2,2627.1,1.9,1.2
poison,1332.6,914.7,6,1.2
poker,1082.8,515.6,6.5,1.3
polar,2008.9,2614.6,5.8,1.9
police,1058.6,631.1,6.6,1.5
polish,2104.4,1645.8,5.4,1.6
polite,2272.4,2335.6,4.1,2.2
polka,1308.6,670.4,6,1.8
pollen,2050.3,2224.6,5.5,2
polo,1769.7,1105.2,5.6,2.3
poncho,1286.5,796,5.9,2
ponder,2009.1,1800.4,3.8,2.3
pony,1052.1,420,6.8,0.8
poodle,1112.5,402.9,6.8,1.1
poppy,1673.5,686.8,5.1,2.5
porridge,1936.5,2345.8,5.1,2.5
portal,1863.7,1546.3,4.9,2.3
portion,1975.6,1545.1,4.1,2.2
portrait,1590.2,1187.2,5.9,2
portray,2022.1,1373.5,3.9,2.4
posse,1775,974.4,4.7,2.1
possess,2086.2,1419.6,4,2.1
possum,1383.4,1203.5,6.3,1.6
postal,2102.4,1784.9,4.9,2.1
poster,1394.7,967.6,6.2,1.1
posture,1558.9,752.4,5.6,2
potent,2208.8,2070.7,4.2,2.2
potion,1524.3,851.2,5.7,1.7
potty,1522.6,806.8,6.5,1
poultry,1483.5,895.1,6,1.7
powder,2311.8,6142.9,6.4,1.2
power,2549.1,2591.6,4.2,2.3
practice,2039.6,1443,4.1,2.2
prairie,1421.9,839.8,6.2,1.6
precinct,2646.9,3133.1,3.8,2.4
precious,2161.5,1610.9,4.6,2.3
precise,2033.1,1747,3.2,2
predict,2230.5,1639.5,3.2,1.9
preface,2032,1842.9,2.9,1.9
prefer,1848.4,1525.1,2.7,2
pregnant,1483.7,2459.4,6.6,1.1
prelude,2457,2586.8,2.6,1.7
premier,2627.4,3532.2,3.3,2.2
premise,2037.4,1437.9,2.5,1.7
prepare,2234.5,2809.6,3.5,2.4
presence,2756.9,3827.5,3.4,2.2
